transaction_id,timestamp,date,time,customer_id,merchant_id,merchant_category,transaction_type,payment_method,amount,amount_category,status,latitude,longitude,account_balance,is_fraud,hour,day_of_week,month,month_name,quarter,year
TXN00000001,2024-01-01 12:52:00,2024-01-01,12:52:00,CUST000135,MERCH000159,other,purchase,debit_card,100.46,very_large,approved,37.164373,-121.128527,6846.96,0,12,Monday,1,January,1,2024
TXN00000002,2024-01-01 13:29:38,2024-01-01,13:29:38,CUST000113,MERCH000126,groceries,purchase,debit_card,45.26,medium,approved,39.995421,-121.692552,1009.44,0,13,Monday,1,January,1,2024
TXN00000003,2024-01-01 18:43:50,2024-01-01,18:43:50,CUST000095,MERCH000136,transportation,purchase,debit_card,69.87,large,approved,38.074929,-121.407111,7156.7,0,18,Monday,1,January,1,2024
TXN00000004,2024-01-01 19:40:30,2024-01-01,19:40:30,CUST000036,MERCH000030,utilities,purchase,credit_card,26.94,medium,approved,39.87502,-120.034811,5523.1,0,19,Monday,1,January,1,2024
TXN00000005,2024-01-01 22:56:17,2024-01-01,22:56:17,CUST000109,MERCH000098,groceries,withdrawal,debit_card,92.18,large,approved,39.319363,-122.012061,5287.01,0,22,Monday,1,January,1,2024
TXN00000006,2024-01-02 00:47:34,2024-01-02,00:47:34,CUST000087,MERCH000097,healthcare,purchase,credit_card,11.44,medium,approved,38.233873,-122.350642,9898.88,0,0,Tuesday,1,January,1,2024
TXN00000007,2024-01-02 01:03:44,2024-01-02,01:03:44,CUST000153,MERCH000001,retail,transfer,debit_card,30.44,medium,declined,37.354934,-121.654517,6220.19,0,1,Tuesday,1,January,1,2024
TXN00000008,2024-01-02 01:16:19,2024-01-02,01:16:19,CUST000149,MERCH000016,utilities,refund,credit_card,-42.68,medium,approved,37.711579,-121.427038,8977.61,0,1,Tuesday,1,January,1,2024
TXN00000009,2024-01-02 03:07:11,2024-01-02,03:07:11,CUST000028,MERCH000114,gas_station,purchase,debit_card,30.87,medium,approved,39.019134,-122.743113,9144.13,0,3,Tuesday,1,January,1,2024
TXN00000010,2024-01-02 03:25:04,2024-01-02,03:25:04,CUST000018,MERCH000011,transportation,purchase,debit_card,25.88,medium,approved,39.489806,-120.582084,1104.04,0,3,Tuesday,1,January,1,2024
TXN00000011,2024-01-02 08:11:16,2024-01-02,08:11:16,CUST000179,MERCH000155,retail,purchase,credit_card,13.2,medium,approved,39.938321,-121.733842,182.79,0,8,Tuesday,1,January,1,2024
TXN00000012,2024-01-02 08:12:27,2024-01-02,08:12:27,CUST000117,MERCH000086,restaurant,purchase,credit_card,74.03,large,approved,37.396487,-121.760439,4409.14,0,8,Tuesday,1,January,1,2024
TXN00000013,2024-01-02 10:44:19,2024-01-02,10:44:19,CUST000170,MERCH000168,restaurant,purchase,credit_card,213.88,very_large,approved,37.467842,-121.02348,7715.92,0,10,Tuesday,1,January,1,2024
TXN00000014,2024-01-02 14:53:24,2024-01-02,14:53:24,CUST000014,MERCH000172,transportation,purchase,debit_card,60.8,large,approved,37.127318,-120.680267,8259.54,0,14,Tuesday,1,January,1,2024
TXN00000015,2024-01-02 16:07:57,2024-01-02,16:07:57,CUST000116,MERCH000070,transportation,transfer,credit_card,52.51,large,approved,37.781094,-120.042179,7896.19,0,16,Tuesday,1,January,1,2024
TXN00000016,2024-01-03 05:54:06,2024-01-03,05:54:06,CUST000117,MERCH000120,groceries,purchase,credit_card,132.53,very_large,approved,39.463202,-122.479441,4528.15,0,5,Wednesday,1,January,1,2024
TXN00000017,2024-01-03 06:49:15,2024-01-03,06:49:15,CUST000170,MERCH000185,entertainment,transfer,debit_card,138.56,very_large,approved,37.594771,-121.963333,7524.64,0,6,Wednesday,1,January,1,2024
TXN00000018,2024-01-03 10:49:31,2024-01-03,10:49:31,CUST000020,MERCH000176,healthcare,purchase,cash,21.48,medium,approved,38.643594,-122.495228,7215.89,0,10,Wednesday,1,January,1,2024
TXN00000019,2024-01-03 12:32:05,2024-01-03,12:32:05,CUST000047,MERCH000168,healthcare,transfer,credit_card,416.06,very_large,approved,38.339222,-120.357435,3206.81,0,12,Wednesday,1,January,1,2024
TXN00000020,2024-01-03 16:51:03,2024-01-03,16:51:03,CUST000087,MERCH000039,restaurant,fee,debit_card,-4.1,small,approved,37.977479,-121.35452,1770.33,0,16,Wednesday,1,January,1,2024
TXN00000021,2024-01-03 17:43:05,2024-01-03,17:43:05,CUST000171,MERCH000131,transportation,purchase,digital_wallet,7.82,small,approved,38.855039,-120.44268,6252.05,1,17,Wednesday,1,January,1,2024
TXN00000022,2024-01-03 18:00:48,2024-01-03,18:00:48,CUST000190,MERCH000183,transportation,withdrawal,digital_wallet,33.59,medium,approved,38.506977,-120.044324,6803.16,0,18,Wednesday,1,January,1,2024
TXN00000023,2024-01-03 20:39:06,2024-01-03,20:39:06,CUST000198,MERCH000001,retail,purchase,credit_card,56.38,large,approved,38.00429,-121.34938,5722.91,0,20,Wednesday,1,January,1,2024
TXN00000024,2024-01-03 20:49:23,2024-01-03,20:49:23,CUST000191,MERCH000023,retail,transfer,digital_wallet,38.05,medium,approved,39.066553,-122.645545,2210.48,0,20,Wednesday,1,January,1,2024
TXN00000025,2024-01-03 23:04:58,2024-01-03,23:04:58,CUST000002,MERCH000195,online_shopping,refund,debit_card,-4.49,small,approved,37.839905,-121.916197,2839.07,0,23,Wednesday,1,January,1,2024
TXN00000026,2024-01-04 00:25:53,2024-01-04,00:25:53,CUST000013,MERCH000190,other,purchase,bank_transfer,144.0,very_large,approved,38.92955,-122.891432,7114.01,0,0,Thursday,1,January,1,2024
TXN00000027,2024-01-04 04:14:23,2024-01-04,04:14:23,CUST000031,MERCH000115,utilities,purchase,debit_card,661.1,extra_large,approved,39.871738,-120.452097,9629.96,0,4,Thursday,1,January,1,2024
TXN00000028,2024-01-04 06:00:33,2024-01-04,06:00:33,CUST000071,MERCH000162,groceries,purchase,cash,20.58,medium,approved,39.186856,-122.946339,9453.87,0,6,Thursday,1,January,1,2024
TXN00000029,2024-01-04 08:19:36,2024-01-04,08:19:36,CUST000159,MERCH000145,healthcare,purchase,cash,17.64,medium,approved,38.255199,-121.223445,5244.62,0,8,Thursday,1,January,1,2024
TXN00000030,2024-01-04 09:40:31,2024-01-04,09:40:31,CUST000175,MERCH000048,gas_station,fee,debit_card,-2.29,small,approved,39.242678,-122.6816,8876.94,0,9,Thursday,1,January,1,2024
TXN00000031,2024-01-04 10:27:25,2024-01-04,10:27:25,CUST000035,MERCH000091,retail,refund,cash,-10.41,medium,approved,39.427725,-122.977326,391.57,0,10,Thursday,1,January,1,2024
TXN00000032,2024-01-04 10:41:18,2024-01-04,10:41:18,CUST000132,MERCH000053,utilities,purchase,credit_card,7.19,small,approved,37.977521,-122.231549,8625.41,0,10,Thursday,1,January,1,2024
TXN00000033,2024-01-04 12:40:43,2024-01-04,12:40:43,CUST000183,MERCH000061,online_shopping,transfer,credit_card,18.8,medium,approved,39.115397,-121.344443,4813.89,0,12,Thursday,1,January,1,2024
TXN00000034,2024-01-04 17:51:10,2024-01-04,17:51:10,CUST000105,MERCH000103,online_shopping,transfer,debit_card,90.26,large,approved,38.303189,-122.774736,7837.12,0,17,Thursday,1,January,1,2024
TXN00000035,2024-01-04 18:54:07,2024-01-04,18:54:07,CUST000022,MERCH000102,groceries,purchase,digital_wallet,6.83,small,approved,39.455567,-121.155336,155.27,0,18,Thursday,1,January,1,2024
TXN00000036,2024-01-04 20:13:18,2024-01-04,20:13:18,CUST000104,MERCH000139,restaurant,purchase,debit_card,7.63,small,approved,37.886133,-120.984023,8698.75,0,20,Thursday,1,January,1,2024
TXN00000037,2024-01-04 20:35:38,2024-01-04,20:35:38,CUST000076,MERCH000143,online_shopping,purchase,debit_card,40.73,medium,approved,39.813279,-120.090906,5990.3,0,20,Thursday,1,January,1,2024
TXN00000038,2024-01-04 21:10:45,2024-01-04,21:10:45,CUST000127,MERCH000090,restaurant,withdrawal,debit_card,25.64,medium,approved,38.724361,-120.301389,2478.28,0,21,Thursday,1,January,1,2024
TXN00000039,2024-01-04 21:27:45,2024-01-04,21:27:45,CUST000096,MERCH000118,groceries,transfer,credit_card,138.1,very_large,approved,38.05991,-121.299627,3540.08,0,21,Thursday,1,January,1,2024
TXN00000040,2024-01-04 22:12:29,2024-01-04,22:12:29,CUST000005,MERCH000139,other,purchase,credit_card,23.52,medium,approved,38.258114,-120.619906,2086.59,0,22,Thursday,1,January,1,2024
TXN00000041,2024-01-05 00:27:49,2024-01-05,00:27:49,CUST000198,MERCH000135,gas_station,purchase,cash,27.51,medium,approved,38.043396,-121.909077,4301.62,0,0,Friday,1,January,1,2024
TXN00000042,2024-01-05 04:30:31,2024-01-05,04:30:31,CUST000118,MERCH000047,groceries,transfer,bank_transfer,229.55,very_large,pending,37.438739,-121.242863,3367.06,0,4,Friday,1,January,1,2024
TXN00000043,2024-01-05 08:55:44,2024-01-05,08:55:44,CUST000106,MERCH000136,other,deposit,credit_card,36.47,medium,approved,37.205477,-121.789937,5391.58,0,8,Friday,1,January,1,2024
TXN00000044,2024-01-05 10:35:50,2024-01-05,10:35:50,CUST000191,MERCH000005,transportation,transfer,debit_card,210.95,very_large,approved,37.965336,-121.988875,8166.37,0,10,Friday,1,January,1,2024
TXN00000045,2024-01-05 11:06:10,2024-01-05,11:06:10,CUST000032,MERCH000087,transportation,purchase,credit_card,21.76,medium,approved,38.376071,-120.817082,9824.53,0,11,Friday,1,January,1,2024
TXN00000046,2024-01-05 13:13:53,2024-01-05,13:13:53,CUST000036,MERCH000194,transportation,purchase,credit_card,14.57,medium,approved,38.085451,-122.109988,2589.43,0,13,Friday,1,January,1,2024
TXN00000047,2024-01-05 14:45:44,2024-01-05,14:45:44,CUST000153,MERCH000091,utilities,purchase,credit_card,11.31,medium,approved,37.041759,-121.858343,1154.43,0,14,Friday,1,January,1,2024
TXN00000048,2024-01-05 15:16:28,2024-01-05,15:16:28,CUST000051,MERCH000063,utilities,purchase,debit_card,6.32,small,approved,38.737019,-121.898485,4017.11,0,15,Friday,1,January,1,2024
TXN00000049,2024-01-05 16:56:34,2024-01-05,16:56:34,CUST000153,MERCH000021,restaurant,transfer,credit_card,20.32,medium,approved,37.434449,-120.38879,1521.19,0,16,Friday,1,January,1,2024
